"id","word","strongs","usage_count"
1,"and","2532",8042
2,"lord","03068",6398
3,"said","0559",2774
4,"israel","03478",2471
5,"god","0430",2362
6,"king","04428",1961
7,"him","846",1927
8,"son","01121",1890
9,"in","1722",1843
10,"people","05971",1830
11,"house","01004",1762
12,"children","01121",1541
13,"land","0776",1509
14,"god","2316",1300
15,"day","03117",1250
16,"and","1161",1223
17,"not","3756",1193
18,"before","06440",1131
19,"them","846",1124
20,"hand","03027",1086
21,"sons","01121",1076
22,"his","846",1076
23,"david","01732",1020
24,"for","1063",971
25,"jesus","2424",956
26,"man","0376",955
27,"but","1161",925
28,"saying","0559",912
29,"judah","03063",800
30,"all","3956",770
31,"moses","04872",766
32,"said","2036",748
33,"name","08034",733
34,"earth","0776",712
35,"lord","2962",701
36,"is","2076",690
37,"days","03117",688
38,"one","0259",683
39,"up","05927",677
40,"city","05892",653
41,"jerusalem","03389",638
42,"come","0935",630
43,"that","3754",626
44,"came","0935",615
45,"fathers","01",612
46,"do","06213",597
47,"father","01",593
48,"you","5213",593
49,"egypt","04714",586
50,"saith","0559",579
51,"into","1519",565
52,"say","0559",564
53,"but","235",554
54,"christ","5547",549
55,"kings","04428",545
56,"of","1537",531
57,"two","08147",530
58,"out","03318",518
59,"also","2532",516
60,"hundred","03967",509
61,"not","3361",499
62,"my","3450",495
63,"heart","03820",485
64,"men","0582",482
65,"eat","0398",479
66,"that","2443",476
67,"give","05414",467
68,"way","01870",461
69,"after","0310",452
70,"evil","07451",434
71,"word","01697",433
72,"lord","0136",432
73,"know","03045",428
74,"thousand","0505",424
75,"priest","03548",422
76,"years","08141",421
77,"eyes","05869",421
78,"which","3739",421
79,"soul","05315",416
80,"sent","07971",411
81,"forth","03318",410
82,"which","3588",407
83,"cities","05892",400
84,"great","01419",395
85,"made","06213",392
86,"man","0120",390
87,"sword","02719",385
88,"three","07969",384
89,"servants","05650",382
90,"voice","06963",381
91,"saying","3004",379
92,"called","07121",378
93,"from","575",375
94,"words","01697",374
95,"fire","0784",372
96,"place","04725",371
97,"heard","08085",370
98,"you","5209",369
99,"saul","07586",367
100,"saith","05002",364
101,"hear","08085",361
102,"servant","05650",361
103,"good","02896",357
104,"your","5216",355
105,"seven","07651",352
106,"altar","04196",350
107,"gold","02091",348
108,"see","07200",347
109,"down","03381",347
110,"father","3962",346
111,"i","1473",345
112,"thy","4675",345
113,"blood","01818",341
114,"as","5613",340
115,"man","444",340
116,"took","03947",338
117,"done","06213",336
118,"unto","4314",334
119,"take","03947",333
120,"go","03212",332
121,"with","3326",332
122,"jacob","03290",331
123,"commanded","06680",330
124,"mouth","06310",329
125,"brethren","0251",329
126,"to","1519",329
127,"face","06440",328
128,"priests","03548",322
129,"spake","01696",316
130,"aaron","0175",314
131,"their","846",311
132,"did","06213",309
133,"water","04325",305
134,"son","5207",305
135,"god","03069",304
136,"our","2257",303
137,"wife","0802",302
138,"five","02568",300
139,"saw","07200",298
140,"sea","03220",295
141,"hosts","06635",294
142,"year","08141",293
143,"heaven","08064",289
144,"silver","03701",287
145,"say","3004",285
146,"saith","3004",284
147,"daughter","01323",281
148,"come","2064",278
149,"about","05439",276
150,"twenty","06242",274
151,"speak","01696",274
152,"hands","03027",272
153,"ever","05769",271
154,"solomon","08010",271
155,"waters","04325",267
156,"nations","01471",265
157,"four","0702",264
158,"head","07218",264
159,"covenant","01285",264
160,"for","3754",264
161,"holy","06944",262
162,"levites","03881",260
163,"whom","3739",260
164,"found","04672",259
165,"me","3165",259
166,"went","03212",258
167,"wilderness","04057",256
168,"die","04191",255
169,"flesh","01320",255
170,"philistines","06430",254
171,"what","5101",254
172,"spirit","4151",253
173,"gate","08179",252
174,"gave","05414",251
175,"was","2258",251
176,"therefore","3767",251
177,"or","2228",250
178,"given","05414",249
179,"again","07725",248
180,"wicked","07563",248
181,"he","846",248
182,"have","2192",248
183,"field","07704",246
184,"daughters","01323",246
185,"heaven","3772",246
186,"babylon","0894",245
187,"brother","0251",244
188,"her","846",242
189,"return","07725",241
190,"disciples","3101",241
191,"up","06965",240
192,"brought","0935",238
193,"bread","03899",237
194,"bring","0935",237
195,"by","1223",236
196,"faith","4102",236
197,"heard","191",234
198,"in","0935",233
199,"time","06256",233
200,"make","06213",232
201,"if","1487",231
202,"ye","5210",231
203,"spirit","07307",226
204,"mount","02022",224
205,"god","0410",224
206,"gods","0430",223
207,"pharaoh","06547",221
208,"brethren","80",220
209,"up","05375",219
210,"seed","02233",218
211,"sight","05869",217
212,"one","1520",217
213,"lord","0113",215
214,"me","3427",215
215,"joshua","03091",214
216,"midst","08432",209
217,"woman","0802",208
218,"heart","03824",208
219,"night","03915",207
220,"month","02320",207
221,"law","08451",206
222,"unto","1519",205
223,"men","0376",204
224,"enemies","0341",201
225,"answered","611",200
226,"then","3767",200
227,"thee","4671",199
228,"you","5216",199
229,"dwell","03427",196
230,"ark","0727",194
231,"smote","05221",193
232,"joseph","03130",192
233,"on","1909",192
234,"law","3551",192
235,"inheritance","05159",191
236,"inhabitants","03427",190
237,"many","07227",190
238,"morning","01242",189
239,"cubits","0520",189
240,"princes","08269",189
241,"judgment","04941",189
242,"this","5124",189
243,"one","0376",188
244,"said","3004",188
245,"six","08337",187
246,"tabernacle","0168",187
247,"came","2064",187
248,"men","444",187
249,"earth","1093",187
250,"day","2250",187
251,"put","05414",186
252,"to","4314",186
253,"it","846",186
254,"world","2889",185
255,"do","4160",185
256,"keep","08104",184
257,"dwelt","03427",184
258,"offering","05930",184
259,"saw","1492",183
260,"from","1537",183
261,"jordan","03383",182
262,"thing","01697",182
263,"many","4183",181
264,"if","1437",180
265,"begat","03205",179
266,"because","3754",179
267,"of","575",176
268,"word","3056",176
269,"blessed","01288",175
270,"peace","07965",175
271,"answered","06030",175
272,"over","05674",174
273,"thee","4571",174
274,"spoken","01696",172
275,"iniquity","05771",172
276,"anger","0639",172
277,"behold","2400",172
278,"ephraim","0669",171
279,"name","3686",170
280,"so","3779",170
281,"families","04940",169
282,"stood","05975",169
283,"ten","06235",168
284,"now","1161",168
285,"jews","2453",168
286,"thou","4771",168
287,"moab","04124",166
288,"prophet","05030",165
289,"oil","08081",165
290,"be","2071",165
291,"know","1492",165
292,"ways","01870",164
293,"things","3956",163
294,"righteous","06662",162
295,"tribe","04294",162
296,"this","3778",162
297,"seen","07200",161
298,"serve","05647",161
299,"abraham","085",161
300,"drink","08354",161
301,"holy","40",161
302,"reigned","04427",160
303,"as","2531",160
304,"us","2254",159
305,"thirty","07970",158
306,"benjamin","01144",157
307,"mountains","02022",156
308,"glory","03519",156
309,"things","5023",156
310,"kingdom","932",156
311,"died","04191",153
312,"upon","1909",153
313,"feet","07272",152
314,"zion","06726",152
315,"days","2250",152
316,"told","05046",151
317,"war","04421",151
318,"peter","4074",151
319,"offering","04503",150
320,"fifty","02572",150
321,"paul","3972",150
322,"congregation","04150",149
323,"fall","05307",148
324,"built","01129",148
325,"fear","03372",148
326,"prophets","05030",148
327,"us","2248",148
328,"put","07760",146
329,"jeremiah","03414",146
330,"of","4012",146
331,"returned","07725",145
332,"off","03772",145
333,"battle","04421",145
334,"wisdom","02451",145
335,"then","5119",145
336,"for","1519",145
337,"glory","1391",144
338,"life","02416",143
339,"mother","0517",143
340,"heathen","01471",143
341,"king","04430",143
342,"great","3173",143
343,"manasseh","04519",141
344,"send","07971",140
345,"city","4172",140
346,"among","08432",139
347,"in","1519",139
348,"no","3756",139
349,"border","01366",138
350,"written","03789",138
351,"again","3825",138
352,"very","03966",137
353,"wine","03196",137
354,"mercy","02617",137
355,"joab","03097",137
356,"people","2992",137
357,"with","1722",137
358,"flesh","4561",137
359,"book","05612",136
360,"stones","068",136
361,"samuel","08050",136
362,"by","1722",136
363,"old","01121",135
364,"give","1325",135
365,"hear","191",135
366,"vessels","03627",132
367,"then","1161",132
368,"that","3739",132
369,"dead","3498",132
370,"call","07121",131
371,"build","01129",130
372,"dead","04191",130
373,"commandments","04687",130
374,"life","2222",130
375,"first","07223",129
376,"camp","04264",129
377,"john","2491",129
378,"body","4983",129
379,"and","5037",129
380,"forty","0705",128
381,"grace","5485",128
382,"death","04194",127
383,"work","04399",126
384,"righteousness","06666",125
385,"congregation","05712",124
386,"throne","03678",123
387,"land","0127",122
388,"am","1510",122
389,"written","1125",121
390,"hath","2192",121
391,"given","1325",121
392,"sun","08121",120
393,"family","04940",120
394,"with","4862",120
395,"remember","02142",119
396,"together","03162",119
397,"hearken","08085",119
398,"stand","05975",119
399,"are","1526",119
400,"in","1909",119
401,"two","1417",119
402,"we","2249",119
403,"assyria","0804",118
404,"great","07227",118
405,"houses","01004",118
406,"they","846",118
407,"set","07760",117
408,"work","04639",116
409,"bless","01288",116
410,"north","06828",116
411,"court","02691",116
412,"door","06607",115
413,"offering","02403",115
414,"of","5259",115
415,"voice","5456",115
416,"now","3568",115
417,"tabernacle","04908",114
418,"death","2288",114
419,"wives","0802",113
420,"elders","02205",113
421,"were","2258",113
422,"light","0216",112
423,"money","03701",112
424,"reign","04427",112
425,"deliver","05337",112
426,"gates","08179",112
427,"brother","80",112
428,"believe","4100",112
429,"bare","03205",111
430,"sheep","06629",111
431,"live","02421",111
432,"among","1722",111
433,"every","3956",111
434,"when","3752",111
435,"himself","1438",111
436,"seek","01245",110
437,"lips","08193",110
438,"suburbs","04054",110
439,"heavens","08064",109
440,"spake","0559",109
441,"number","04557",109
442,"wise","02450",109
443,"had","2192",109
444,"men","0120",108
445,"nation","01471",108
446,"lords","03068",108
447,"judgments","04941",108
448,"half","02677",108
449,"samaria","08111",108
450,"found","2147",108
451,"for","5228",108
452,"wood","06086",107
453,"at","1722",107
454,"fruit","06529",106
455,"was","1096",106
456,"certain","5100",106
457,"truth","225",106
458,"stone","068",105
459,"mountain","02022",105
460,"hand","03225",105
461,"women","0802",104
462,"isaac","03327",104
463,"known","03045",104
464,"absalom","053",104
465,"works","2041",104
466,"brass","05178",103
467,"arise","06965",103
468,"judge","08199",103
469,"arose","06965",103
470,"numbered","06485",103
471,"save","03467",103
472,"even","2532",103
473,"for","1223",103
474,"sin","02403",102
475,"firstborn","01060",102
476,"sacrifice","02077",102
477,"sinned","02398",102
478,"life","05315",101
479,"names","08034",101
480,"angel","04397",101
481,"jeroboam","03379",101
482,"verily","281",101
483,"ears","0241",100
484,"gilead","01568",100
485,"who","5101",100
486,"house","3624",100
487,"set","05414",99
488,"go","0935",99
489,"called","2564",99
490,"heart","2588",99
491,"this","5026",99
492,"ground","0776",98
493,"host","06635",98
494,"horses","05483",98
495,"fell","05307",97
496,"bear","05375",97
497,"that","1565",97
498,"seventh","07637",96
499,"delivered","05414",96
500,"twelve","06240",96
501,"service","05656",96
502,"away","05493",96
503,"angel","32",96
504,"when","3753",96
505,"blood","129",96
506,"buried","06912",95
507,"possess","03423",95
508,"speak","2980",95
509,"other","0312",94
510,"smite","05221",94
511,"woman","1135",94
512,"man","3762",94
513,"me","1700",94
514,"through","1223",94
515,"dust","06083",93
516,"how","4459",93
517,"sin","266",93
518,"wall","02346",92
519,"praise","01984",92
520,"cometh","2064",92
521,"gentiles","1484",92
522,"tent","0168",91
523,"answered","0559",91
524,"chief","07218",91
525,"sister","0269",90
526,"country","0776",90
527,"ram","0352",90
528,"ammon","05983",90
529,"truth","0571",90
530,"ghost","4151",90
531,"hands","5495",90
532,"sent","649",90
533,"bones","06106",89
534,"canaan","03667",89
535,"tongue","03956",89
536,"south","05045",89
537,"egyptians","04714",89
538,"ahab","0256",89
539,"pharisees","5330",89
540,"righteousness","1343",89
541,"peace","1515",89
542,"eat","5315",88
543,"second","08145",87
544,"famine","07458",87
545,"edom","0123",87
546,"hand","5495",87
547,"sea","2281",87
548,"fight","03898",86
549,"congregation","06951",86
550,"seven","2033",86
551,"heads","07218",85
552,"went","01980",85
553,"esau","06215",85
554,"chariots","07393",85
555,"hezekiah","02396",85
556,"king","935",85
557,"tree","06086",84
558,"third","07992",84
559,"flock","06629",84
560,"beast","0929",84
561,"said","01696",84
562,"command","06680",84
563,"find","04672",84
564,"jehoshaphat","03092",84
565,"there","1563",84
566,"who","3739",84
567,"knew","03045",83
568,"death","04191",83
569,"walk","03212",83
570,"after","3326",83
571,"people","3793",83
572,"know","1097",83
573,"hour","5610",83
574,"love","26",83
575,"knowledge","01847",82
576,"offerings","05930",82
577,"fled","05127",82
578,"cometh","0935",82
579,"places","01116",82
580,"house","3614",82
581,"angels","32",82
582,"having","2192",82
583,"out","1831",82
584,"jerusalem","2419",82
585,"wind","07307",81
586,"go","01980",81
587,"god","0426",81
588,"prophets","4396",81
589,"good","2570",81
590,"good","18",81
591,"pass","1096",81
592,"man","5100",81
593,"me","1698",81
594,"eaten","0398",80
595,"pillars","05982",80
596,"wife","1135",80
597,"first","4413",80
598,"me","1691",80
599,"fat","02459",79
600,"tribes","07626",79
601,"offer","07126",79
602,"unclean","02931",79
603,"captains","08269",79
604,"moses","3475",79
605,"us","2257",79
606,"living","02416",78
607,"trees","06086",78
608,"counsel","06098",78
609,"who","3588",78
610,"sins","266",78
611,"born","03205",77
612,"master","0113",77
613,"giveth","05414",77
614,"turn","07725",77
615,"chosen","0977",77
616,"enemy","0341",77
617,"offerings","08002",77
618,"eye","05869",77
619,"righteousness","06664",77
620,"thee","4675",77
621,"same","846",77
622,"men","435",77
623,"presence","06440",76
624,"afraid","03372",76
625,"cast","07993",76
626,"deliver","05414",76
627,"jonathan","03083",76
628,"mother","3384",76
629,"see","1492",76
630,"which","3748",76
631,"own","2398",76
632,"cloud","06051",75
633,"perish","06",75
634,"prayer","08605",75
635,"believed","4100",75
636,"church","1577",75
637,"eight","08083",74
638,"generations","01755",74
639,"breadth","07341",74
640,"among","07130",74
641,"love","0157",74
642,"messengers","04397",74
643,"slain","02491",74
644,"neighbour","07453",74
645,"statutes","02706",74
646,"bullock","06499",74
647,"unclean","02930",74
648,"selah","05542",74
649,"cast","906",74
650,"gospel","2098",74
651,"feet","4228",74
652,"another","240",74
653,"to","2443",74
654,"hearkened","08085",73
655,"iron","01270",73
656,"amorites","0567",73
657,"even","06153",73
658,"go","07971",73
659,"works","04639",73
660,"skin","05785",73
661,"ashamed","0954",72
662,"sat","03427",72
663,"hands","03709",72
664,"better","02896",72
665,"reuben","07205",72
666,"midst","07130",72
667,"eleazar","0499",72
668,"sabbath","07676",72
669,"sins","02403",72
670,"art","1488",72
671,"love","25",72
672,"much","4183",72
673,"place","5117",72
674,"filled","04390",71
675,"enter","0935",71
676,"oxen","01241",71
677,"hebron","02275",71
678,"mothers","0517",71
679,"atonement","03722",71
680,"rejoice","08055",71
681,"lebanon","03844",71
682,"priests","749",71
683,"way","3598",71
684,"fire","4442",71
685,"bread","740",71
686,"temple","2411",71
687,"power","1411",71
688,"eyes","3788",71
689,"gave","1325",71
690,"length","0753",70
691,"dan","01835",70
692,"stranger","01616",70
693,"multitude","07230",70
694,"come","03212",70
695,"sware","07650",70
696,"kept","08104",70
697,"gad","01410",70
698,"more","03254",70
699,"garments","0899",70
700,"sin","02398",70
701,"man","435",70
702,"twelve","1427",70
703,"darkness","02822",69
704,"without","02351",69
705,"dwell","07931",69
706,"clothes","0899",69
707,"elijah","0452",69
708,"israel","2474",69
709,"children","5043",69
710,"made","1096",69
711,"mouth","4750",69
712,"ever","165",69
713,"spake","2980",69
714,"fathers","3962",69
715,"taken","03947",68
716,"both","08147",68
717,"destroy","07843",68
718,"tell","05046",68
719,"sanctuary","06944",68
720,"prophesy","05012",68
721,"temple","01964",68
722,"simon","4613",68
723,"are","2075",68
724,"be","1096",68
725,"some","5100",68
726,"river","05104",67
727,"hate","08130",67
728,"fury","02534",67
729,"pitched","02583",67
730,"offering","07133",67
731,"syria","0758",67
732,"prophet","4396",67
733,"light","5457",67
734,"three","5140",67
735,"husband","0376",66
736,"liveth","02416",66
737,"bethel","01008",66
738,"meet","07125",66
739,"knowest","03045",66
740,"rams","0352",66
741,"abraham","11",66
742,"would","2309",66
743,"nothing","3762",66
744,"servant","1401",66
745,"make","05414",65
746,"top","07218",65
747,"for","05704",65
748,"back","07725",65
749,"because","06440",65
750,"reproach","02781",65
751,"salvation","03444",65
752,"holy","06918",65
753,"fire","0801",65
754,"jews","03064",65
755,"why","5101",65
756,"cherubims","03742",64
757,"walked","01980",64
758,"foot","07272",64
759,"everlasting","05769",64
760,"make","07760",64
761,"possession","0272",64
762,"abimelech","040",64
763,"levi","03878",64
764,"plague","05061",64
765,"sanctuary","04720",64
766,"these","3778",64
767,"cattle","04735",63
768,"up","07311",63
769,"faces","06440",63
770,"mighty","01368",63
771,"sanctify","06942",63
772,"song","07892",63
773,"ear","0241",63
774,"side","06285",63
775,"broken","07665",63
776,"rest","03499",63
777,"done","1096",63
778,"say","2036",63
779,"neither","3761",63
780,"before","1799",63
781,"kingdom","04467",62
782,"early","07925",62
783,"left","07604",62
784,"out","05186",62
785,"abner","074",62
786,"all","3650",62
787,"scribes","1122",62
788,"galilee","1056",62
789,"will","2307",62
790,"after","2596",62
791,"time","03117",61
792,"went","0935",61
793,"spoil","07998",61
794,"wings","03671",61
795,"abominations","08441",61
796,"baal","01168",61
797,"zedekiah","06667",61
798,"trust","0982",61
799,"water","5204",61
800,"began","756",61
801,"only","3440",61
802,"down","2597",61
803,"served","05647",60
804,"away","03947",60
805,"strength","05797",60
806,"lot","01486",60
807,"forsaken","05800",60
